Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Skills List
"312,500",2.0,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Advertising, PR, MR, Event Management",Telecalling,"part time, internet marketing, online marketing, digital marketing, internet sales, online sales, ad sales, cce, business development executive, hr, customer care, mba fresher, b.com"
"725,000",6.5,Channel Sales,"Sales , Retail , Business Development",Insurance,Regional Sales Manager,"marketing, sales manager, unit manager, assistant branch manager, branch manager, senior sales manager, business development, business development manager, agency manager, sales, sales development manager"
"550,000",5.5,Content Development,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer,"copywriting, creative writer, copy writer, Script Writer, script writing, content editor, editing, proof reading"
"350,000",2.5,Marketing Research,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing Research Executive,"engineering, digital marketing, online marketing, internet marketing, seo, sales, business development, lead generation, cold calling, tele sales, tele calling executive, human resource management, hr, recruitment, hiring, bulk hiring, mass recruitment, Fresher"
"275,000",0.0,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern,"bpt, bds, medical coding, medical coder, pharmacology"
"1,100,000",7.5,Corporate Sales,"Sales , Retail , Business Development","Courier, Transportation, Freight , Warehousing",Sales,"Air Freight, ocean freight, ocean, freight, freight forwarding, business development, sea freight, sales"
"500,000",5.0,Channel Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Client Relationship Manager,"education, Digital, upsell, sales process, cross selling, E - learning, sales operations, sales management, Academics, school, relationship management, coaching"
"287,500",2.0,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales Executive,"Communication Skills, Lead Generation, Sales, MNC, Business Development"
"350,000",1.5,Corporate Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive,"business development, sales marketing, corporate sales, sales, sales executive, field sales, marketing, educational sales, marketing executive, sales representative, marketing representative, sales insurance, sales associate, direct sales"
"1,250,000",12.5,Senior Management,"Supply Chain , Logistics , Purchase , Materials","Pharma, Biotech, Clinical Research",Head,"Procurement, New Vendor Development, Strategic Sourcing, Vendor Management, Vendor Assessment, Purchase, Cost Reduction, Negotiation, Project Management, Supply Chain"
"312,500",1.0,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Social Media Marketing Manager,Social Media
